,id,question,code_concise,code_verbose,answer,predict
20,21,Which warehouse shows the shortest delivery time overall?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The warehouse with the shortest delivery time overall is WH4.
21,22,Which warehouse had the highest number of delayed shipments?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The warehouse with the highest number of delayed shipments is WH1.
22,23,What is the average delay time per warehouse?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  avg_delay_minutes
0       WH3          54.206612
1       WH1          50.613971
2       WH2          54.525424
3       WH4          52.124000"
23,24,Which warehouse had the most weather-related delays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The warehouse with the most weather-related delays is WH3.
24,25,Which warehouse had the least total delay minutes?,result = df['delay_minutes'].sum(),"# total delay minutes across dataset
result = df['delay_minutes'].sum()
",52784,The warehouse with the least total delay minutes is WH2.
25,26,Which warehouse served the most different routes?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  distinct_routes
0       WH4                5"
26,27,Which warehouse has the most consistent delivery times?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The warehouse with the most consistent delivery times is WH1.
27,28,How many shipments were sent from each warehouse?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  shipment_count
0       WH1             272
1       WH4             250
2       WH3             242
3       WH2             236"
28,29,What is the average delay time across all shipments?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",52.784
29,30,What is the most common delay reason?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The most common delay reason is None.
30,31,Which delay reason caused the most total delay minutes?,result = df['delay_minutes'].sum(),"# total delay minutes across dataset
result = df['delay_minutes'].sum()
",52784,The delay reason that caused the most total delay minutes is 'Traffic' with a total of 10747.0 minutes.
31,32,What is the maximum recorded delay time?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",120
32,33,Which route had the longest single delay event?,"idx = df['delay_minutes'].idxmax(); result = df.loc[idx, ['route','delay_minutes','date']].to_dict()","idx = df['delay_minutes'].idxmax()
result = df.loc[idx, ['route', 'delay_minutes', 'date']].to_dict()
","{'route': 'Route C', 'delay_minutes': 120, 'date': Timestamp('2024-01-06 00:00:00')}",The route with the longest single delay event is 'Route A' with a delay of 120 minutes.
33,34,How many shipments occurred per month?,df['date']=pd.to_datetime(df['date']); result = df.groupby(df['date'].dt.month)['id'].count(),"df['date']=pd.to_datetime(df['date'])
# shipments per month
result = df.groupby(df['date'].dt.month)['id'].count().reset_index(name='count')
","date
1     92
2     87
3     93
4     90
5     93
6     90
7     93
8     93
9     87
10    62
11    60
12    60
Name: id, dtype: int64","      month  shipments_count
0   2024-01               92
1   2024-02               87
2   2024-03               93
3   2024-04               90
4   2024-05               93
5   2024-06               90
6   2024-07               93
7   2024-08               93
8   2024-09               87
9   2024-10               62
10  2024-11               60
11  2024-12               60"
34,35,Which month had the highest delay rate?,df['date']=pd.to_datetime(df['date']); result = df.groupby(df['date'].dt.month).apply(lambda g:(g['delay_minutes']>0).mean()).idxmax(),"df['date']=pd.to_datetime(df['date'])
# month with highest delay rate
result = df.groupby(df['date'].dt.month).apply(lambda g: (g['delay_minutes']>0).mean()).idxmax()
",9,The month with the highest delay rate is 9.0.
35,36,Which week had the most deliveries?,df['date']=pd.to_datetime(df['date']); result = df.groupby(df['date'].dt.isocalendar().week)['id'].count().idxmax(),"df['date']=pd.to_datetime(df['date'])
# week number with most deliveries
result = df.groupby(df['date'].dt.isocalendar().week)['id'].count().idxmax()
",1,The week with the most deliveries was week 1.
36,37,What day of the week has the most shipments?,df['date']=pd.to_datetime(df['date']); result = df.groupby(df['date'].dt.day_name())['id'].count().idxmax(),"df['date']=pd.to_datetime(df['date'])
# day of week with most shipments
result = df.groupby(df['date'].dt.day_name())['id'].count().idxmax()
",Monday,The day of the week with the most shipments is Tuesday.
37,38,What is the on-time delivery rate?,result = (df['delay_minutes']==0).mean(),"# on-time delivery rate
result = (df['delay_minutes'] == 0).mean()
",0.17,The on-time delivery rate is 17.00%.
38,39,What is the 95th percentile of delivery time?,result = df['delivery_time'].quantile(0.95),"# 95th percentile of delivery_time
result = df['delivery_time'].quantile(0.95)
",6.87,6.87
39,40,How many shipments took more than 6 days?,result = (df['delivery_time']>6).sum(),"# shipments with delivery_time more than 6
result = df[df['delivery_time'] > 6].shape[0]
",318,318
40,41,How many shipments took less than 3 days?,result = (df['delivery_time']<3).sum(),"# shipments with delivery_time less than 3
result = df[df['delivery_time'] < 3].shape[0]
",0,1000
41,42,What is the correlation between delivery_time and delay_minutes?,result = df['delivery_time'].corr(df['delay_minutes']),"# correlation between delivery_time and delay_minutes
result = df['delivery_time'].corr(df['delay_minutes'])
",-0.004137855444638635,-0.004137855444638722
42,43,Show all shipments delayed last week.,df['date']=pd.to_datetime(df['date']); maxd=df['date'].max(); last_week=df[(df['date']>maxd-pd.Timedelta(days=7))]; result = last_week[last_week['delay_minutes']>0],"df['date']=pd.to_datetime(df['date'])
max_date = df['date'].max()
last_week = df[(df['date'] > max_date - pd.Timedelta(days=7))]
result = last_week[last_week['delay_minutes'] > 0].reset_index(drop=True)
","      id    route warehouse  delivery_time  delay_minutes      delay_reason  \
357  358  Route A       WH4           4.91             21  Mechanical Issue   
358  359  Route C       WH4           6.27             51           Traffic   
359  360  Route C       WH1           6.64             27       Driver Rest   
360  361  Route E       WH2           6.38             62     Customs Delay   
361  362  Route D       WH2           5.65            117           Weather   
362  363  Route A       WH3           5.72             46           Weather   
363  364  Route B       WH1           4.46            118           Traffic   
722  723  Route C       WH4           5.08             69           Traffic   
723  724  Route D       WH1           6.23             71           Weather   
725  726  Route C       WH4           5.54              6   Minor Breakdown   
726  727  Route B       WH3           6.11             26           Traffic   
727  728  Route A       WH1           5.35             38           Traffic   
728  729  Route A       WH4           6.65             97       Driver Rest   

          date  
357 2024-12-24  
358 2024-12-25  
359 2024-12-26  
360 2024-12-27  
361 2024-12-28  
362 2024-12-29  
363 2024-12-30  
722 2024-12-24  
723 2024-12-25  
725 2024-12-27  
726 2024-12-28  
727 2024-12-29  
728 2024-12-30  ","     id    route warehouse  delivery_time  delay_minutes      delay_reason  \
0   357  Route E       WH3           5.65             20     Customs Delay   
1   358  Route A       WH4           4.91             21  Mechanical Issue   
2   359  Route C       WH4           6.27             51           Traffic   
3   360  Route C       WH1           6.64             27       Driver Rest   
4   361  Route E       WH2           6.38             62     Customs Delay   
5   362  Route D       WH2           5.65            117           Weather   
6   363  Route A       WH3           5.72             46           Weather   
7   364  Route B       WH1           4.46            118           Traffic   
8   723  Route C       WH4           5.08             69           Traffic   
9   724  Route D       WH1           6.23             71           Weather   
10  726  Route C       WH4           5.54              6   Minor Breakdown   
11  727  Route B       WH3           6.11             26           Traffic   
12  728  Route A       WH1           5.35             38           Traffic   
13  729  Route A       WH4           6.65             97       Driver Rest   

         date  
0  2024-12-23  
1  2024-12-24  
2  2024-12-25  
3  2024-12-26  
4  2024-12-27  
5  2024-12-28  
6  2024-12-29  
7  2024-12-30  
8  2024-12-24  
9  2024-12-25  
10 2024-12-27  
11 2024-12-28  
12 2024-12-29  
13 2024-12-30  "
43,44,Show total delayed shipments last month.,df['date']=pd.to_datetime(df['date']); m=df['date'].max().month; y=df['date'].max().year; result = df[(df['date'].dt.month==m)&(df['date'].dt.year==y)&(df['delay_minutes']>0)].shape[0],"df['date']=pd.to_datetime(df['date'])
max_date = df['date'].max()
month = max_date.month; year = max_date.year
result = df[(df['date'].dt.month==month) & (df['date'].dt.year==year) & (df['delay_minutes']>0)].shape[0]
",48,50
44,45,List all shipments in October with delay above 20 minutes.,df['date']=pd.to_datetime(df['date']); result = df[(df['date'].dt.month==10)&(df['delay_minutes']>20)],"df['date']=pd.to_datetime(df['date'])
result = df[(df['date'].dt.month == 10) & (df['delay_minutes'] > 20)].reset_index(drop=True)
","      id    route warehouse  delivery_time  delay_minutes      delay_reason  \
273  274  Route B       WH2           4.12             77  Mechanical Issue   
275  276  Route C       WH2           5.81             78  Mechanical Issue   
276  277  Route D       WH4           6.19             69   Minor Breakdown   
277  278  Route A       WH1           6.41            108     Customs Delay   
278  279  Route B       WH4           4.25             28           Weather   
279  280  Route E       WH3           5.11             58  Mechanical Issue   
280  281  Route D       WH1           6.30             28  Mechanical Issue   
281  282  Route E       WH1           5.29            120           Traffic   
283  284  Route C       WH1           4.56             23           Weather   
284  285  Route C       WH2           5.20             88           Traffic   
285  286  Route E       WH3           6.27             28  Mechanical Issue   
286  287  Route B       WH1           5.10             46       Driver Rest   
287  288  Route B       WH3           5.19             88     Customs Delay   
288  289  Route C       WH1           4.09             81   Minor Breakdown   
289  290  Route D       WH1           4.83             86       Driver Rest   
291  292  Route A       WH3           5.22             33     Customs Delay   
292  293  Route E       WH4           4.07             21           Weather   
296  297  Route D       WH2           5.80            101  Mechanical Issue   
299  300  Route E       WH1           6.16             31           Traffic   
300  301  Route A       WH4           6.54             83  Mechanical Issue   
303  304  Route E       WH2           5.60            104  Mechanical Issue   
638  639  Route D       WH2           5.85             54           Weather   
639  640  Route D       WH4           4.36             29           Traffic   
640  641  Route B       WH2           6.29             72  Mechanical Issue   
642  643  Route E       WH2           4.11             93     Customs Delay   
643  644  Route B       WH1           6.40            107     Customs Delay   
647  648  Route E       WH2           6.72            110           Traffic   
648  649  Route E       WH1           6.44             29           Traffic   
651  652  Route C       WH4           6.23             93           Weather   
652  653  Route E       WH3           4.80            100           Weather   
653  654  Route B       WH4           5.47            113           Traffic   
656  657  Route D       WH1           4.45             87           Traffic   
657  658  Route A       WH3           4.20             71   Minor Breakdown   
658  659  Route B       WH2           6.48            106  Mechanical Issue   
660  661  Route E       WH1           5.93             83           Traffic   
661  662  Route E       WH1           6.06            110           Weather   
662  663  Route B       WH4           4.98             98   Minor Breakdown   
663  664  Route A       WH1           5.09             50   Minor Breakdown   
666  667  Route A       WH3           4.22             97           Weather   
668  669  Route B       WH1           4.38             86           Weather   

          date  
273 2024-10-01  
275 2024-10-03  
276 2024-10-04  
277 2024-10-05  
278 2024-10-06  
279 2024-10-07  
280 2024-10-08  
281 2024-10-09  
283 2024-10-11  
284 2024-10-12  
285 2024-10-13  
286 2024-10-14  
287 2024-10-15  
288 2024-10-16  
289 2024-10-17  
291 2024-10-19  
292 2024-10-20  
296 2024-10-24  
299 2024-10-27  
300 2024-10-28  
303 2024-10-31  
638 2024-10-01  
639 2024-10-02  
640 2024-10-03  
642 2024-10-05  
643 2024-10-06  
647 2024-10-10  
648 2024-10-11  
651 2024-10-14  
652 2024-10-15  
653 2024-10-16  
656 2024-10-19  
657 2024-10-20  
658 2024-10-21  
660 2024-10-23  
661 2024-10-24  
662 2024-10-25  
663 2024-10-26  
666 2024-10-29  
668 2024-10-31  ","     id    route warehouse  delivery_time  delay_minutes      delay_reason  \
0   274  Route B       WH2           4.12             77  Mechanical Issue   
1   276  Route C       WH2           5.81             78  Mechanical Issue   
2   277  Route D       WH4           6.19             69   Minor Breakdown   
3   278  Route A       WH1           6.41            108     Customs Delay   
4   279  Route B       WH4           4.25             28           Weather   
5   280  Route E       WH3           5.11             58  Mechanical Issue   
6   281  Route D       WH1           6.30             28  Mechanical Issue   
7   282  Route E       WH1           5.29            120           Traffic   
8   284  Route C       WH1           4.56             23           Weather   
9   285  Route C       WH2           5.20             88           Traffic   
10  286  Route E       WH3           6.27             28  Mechanical Issue   
11  287  Route B       WH1           5.10             46       Driver Rest   
12  288  Route B       WH3           5.19             88     Customs Delay   
13  289  Route C       WH1           4.09             81   Minor Breakdown   
14  290  Route D       WH1           4.83             86       Driver Rest   
15  292  Route A       WH3           5.22             33     Customs Delay   
16  293  Route E       WH4           4.07             21           Weather   
17  297  Route D       WH2           5.80            101  Mechanical Issue   
18  300  Route E       WH1           6.16             31           Traffic   
19  301  Route A       WH4           6.54             83  Mechanical Issue   
20  304  Route E       WH2           5.60            104  Mechanical Issue   
21  639  Route D       WH2           5.85             54           Weather   
22  640  Route D       WH4           4.36             29           Traffic   
23  641  Route B       WH2           6.29             72  Mechanical Issue   
24  643  Route E       WH2           4.11             93     Customs Delay   
25  644  Route B       WH1           6.40            107     Customs Delay   
26  648  Route E       WH2           6.72            110           Traffic   
27  649  Route E       WH1           6.44             29           Traffic   
28  652  Route C       WH4           6.23             93           Weather   
29  653  Route E       WH3           4.80            100           Weather   
30  654  Route B       WH4           5.47            113           Traffic   
31  657  Route D       WH1           4.45             87           Traffic   
32  658  Route A       WH3           4.20             71   Minor Breakdown   
33  659  Route B       WH2           6.48            106  Mechanical Issue   
34  661  Route E       WH1           5.93             83           Traffic   
35  662  Route E       WH1           6.06            110           Weather   
36  663  Route B       WH4           4.98             98   Minor Breakdown   
37  664  Route A       WH1           5.09             50   Minor Breakdown   
38  667  Route A       WH3           4.22             97           Weather   
39  669  Route B       WH1           4.38             86           Weather   

         date  
0  2024-10-01  
1  2024-10-03  
2  2024-10-04  
3  2024-10-05  
4  2024-10-06  
5  2024-10-07  
6  2024-10-08  
7  2024-10-09  
8  2024-10-11  
9  2024-10-12  
10 2024-10-13  
11 2024-10-14  
12 2024-10-15  
13 2024-10-16  
14 2024-10-17  
15 2024-10-19  
16 2024-10-20  
17 2024-10-24  
18 2024-10-27  
19 2024-10-28  
20 2024-10-31  
21 2024-10-01  
22 2024-10-02  
23 2024-10-03  
24 2024-10-05  
25 2024-10-06  
26 2024-10-10  
27 2024-10-11  
28 2024-10-14  
29 2024-10-15  
30 2024-10-16  
31 2024-10-19  
32 2024-10-20  
33 2024-10-21  
34 2024-10-23  
35 2024-10-24  
36 2024-10-25  
37 2024-10-26  
38 2024-10-29  
39 2024-10-31  "
45,46,Show average delay per route in the last two weeks.,df['date']=pd.to_datetime(df['date']); maxd=df['date'].max(); window=df[(df['date']>maxd-pd.Timedelta(days=13))]; result = window.groupby('route')['delay_minutes'].mean(),"df['date']=pd.to_datetime(df['date'])
max_date = df['date'].max()
window = df[(df['date'] > max_date - pd.Timedelta(days=13))]
result = window.groupby('route')['delay_minutes'].mean().reset_index()
","route
Route A    43.333333
Route B    44.500000
Route C    30.600000
Route D    97.200000
Route E    48.000000
Name: delay_minutes, dtype: float64","     route  avg_delay_minutes
0  Route D          81.000000
1  Route B          50.200000
2  Route E          49.714286
3  Route C          43.500000
4  Route A          43.333333"
46,47,List top 5 routes with longest delays this quarter.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","     route  total_delay_minutes
0  Route E               2264.0
1  Route B               2228.0
2  Route D               2143.0
3  Route A               1230.0
4  Route C               1230.0"
47,48,Predict next week's delay rate using historical averages.,df['date']=pd.to_datetime(df['date']); last_28=df[df['date']>df['date'].max()-pd.Timedelta(days=27)]; result = (last_28['delay_minutes']>0).mean(),"df['date']=pd.to_datetime(df['date'])
max_date = df['date'].max()
last_28 = df[df['date'] > max_date - pd.Timedelta(days=27)]
result = (last_28['delay_minutes'] > 0).mean()
",0.8333333333333334,63.55
48,49,Find routes where delivery time is rising but delay minutes are decreasing.,"df['date']=pd.to_datetime(df['date']); result = []
# compute monthly trend per route
monthly_dt = df.set_index(pd.to_datetime(df['date'])).groupby('route')['delivery_time'].resample('M').mean().unstack(0)
monthly_delay = df.set_index(pd.to_datetime(df['date'])).groupby('route')['delay_minutes'].resample('M').mean().unstack(0)
for col in monthly_dt.columns:
    if monthly_dt[col].iloc[-1] > monthly_dt[col].iloc[0] and monthly_delay[col].iloc[-1] < monthly_delay[col].iloc[0]:
        result.append(col)","df['date']=pd.to_datetime(df['date'])
monthly_dt = df.set_index('date').groupby('route')['delivery_time'].resample('M').mean().unstack(0)
monthly_delay = df.set_index('date').groupby('route')['delay_minutes'].resample('M').mean().unstack(0)
trend_dt = (monthly_dt.iloc[-1] - monthly_dt.iloc[0]) > 0
trend_delay = (monthly_delay.iloc[-1] - monthly_delay.iloc[0]) < 0
result = list(monthly_dt.columns[trend_dt & trend_delay])
","['Route A', 'Route C', 'Route D']","     route  avg_delivery_time  avg_delay_minutes
0  Route C           5.573716          52.672131
1  Route A           5.546961          52.823529
2  Route D           5.461773          50.344828
3  Route E           5.453333          54.366197
4  Route B           5.438376          53.649746"
49,50,Show the bottom 3 warehouses by average delivery_time.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  avg_delivery_time
0       WH4           5.451840
1       WH3           5.464298
2       WH2           5.527119"
50,51,Which route had the most Driver Rest delays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The route with the most 'Driver Rest' delays is: Route B.
51,52,What is the average delivery_time for Route A?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",5.546960784313725
52,53,Which route had the most Weather delays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The route with the most Weather delays is 'Route A' with 33 delays.
53,54,What is the daily delay rate for the last 14 days?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","         date  total_delay_minutes  total_shipments  daily_delay_rate
0  2024-12-16                 60.0                2              30.0
1  2024-12-17                181.0                2              90.5
2  2024-12-18                105.0                2              52.5
3  2024-12-19                127.0                2              63.5
4  2024-12-20                142.0                2              71.0
5  2024-12-21                134.0                2              67.0
6  2024-12-22                 88.0                2              44.0
7  2024-12-23                 20.0                2              10.0
8  2024-12-24                 90.0                2              45.0
9  2024-12-25                122.0                2              61.0
10 2024-12-26                 27.0                2              13.5
11 2024-12-27                 68.0                2              34.0
12 2024-12-28                143.0                2              71.5
13 2024-12-29                 84.0                2              42.0
14 2024-12-30                215.0                2             107.5"
